00000002400000001265,00115,2
00000002400000001265,00122,2
00000002400000001265,00154,1
00000002400000001265,00292,38
00000002400000001265,00426,3
00000002400000001265,00466,27
00000002400000001265,00619,31
00000002400000001265,00733,1
00000002400000001265,00838,1
00000003800000001913,00053,109
00000003800000001913,00468,33
00000003800000001913,00641,1
00000003800000001913,00774,43
00000003800000001913,00846,32
00000003800000001913,01399,2
00000014740000003009,00016,1
00000014740000003009,00046,3
00000014740000003009,00085,1
00000014740000003009,00120,2
00000014740000003009,00144,5
00000014740000003009,00153,1
00000014740000003009,00166,5
00000014740000003009,00197,1
00000014740000003009,00203,25
00000014740000003009,00212,2
00000014740000003009,00250,4
00000014740000003009,00268,3
00000014740000003009,00290,1
00000014740000003009,00307,1
00000014740000003009,00319,1
00000014740000003009,00328,2
00000014740000003009,00378,2529
00000014740000003009,00388,2214
00000014740000003009,00427,5
00000014740000003009,00431,2
00000014740000003009,00436,2
00000014740000003009,00438,4
00000014740000003009,00448,1
00000014740000003009,00485,1
00000014740000003009,00508,2
00000014740000003009,00520,1
00000014740000003009,00528,1
00000014740000003009,00533,1
00000014740000003009,00550,2
00000014740000003009,00574,1
00000014740000003009,00583,1318
00000014740000003009,00598,2
00000014740000003009,00608,1
00000014740000003009,00614,2
00000014740000003009,00627,3
00000014740000003009,00643,1
00000014740000003009,00672,20
00000014740000003009,00682,2
00000014740000003009,00684,3863
00000014740000003009,00694,3
00000014740000003009,00725,2
00000014740000003009,00736,1
00000014740000003009,00756,2
00000014740000003009,00764,1
00000014740000003009,00801,3
00000014740000003009,00826,2
00000014740000003009,00838,1
00000014740000003009,00861,1
00000014740000003009,00866,1
00000014740000003009,00872,1
00000014740000003009,00926,2
00000014740000003009,01009,1
00000014740000003009,01051,3
00000014740000003009,01075,1
00000014740000003009,01085,1
00000014740000003009,01104,1
00000014740000003009,01107,1
00000014740000003009,01114,2
00000014740000003009,01135,383
00000014740000003009,01160,1
00000014740000003009,01172,1
00000014740000003009,01269,1
00000014740000003009,01351,544
00000014740000003009,01390,2
00000014740000003009,01406,1
00000014740000003009,01423,1259
00000014740000003009,01462,2
00000030830000003767,00072,1
00000030830000003767,00252,1
00000030830000003767,00460,2
00000030830000003767,00493,2
00000030830000003767,00554,1
00000030830000003767,00558,1
00000030830000003767,00571,2
00000030830000003767,00576,5
00000030830000003767,00617,2
00000039070000004068,00128,16
00000040620000004736,00270,1
00000040620000004736,00307,220
00000040620000004736,00469,1
00000040620000004736,00491,2
00000040620000004736,00514,3
00000040620000004736,00544,44
00000047360000005524,00023,2
00000047360000005524,00039,4
00000047360000005524,00041,1
00000047360000005524,00055,3
00000047360000005524,00065,3499
