00000002400000001265,00312,3
00000002400000001265,00456,1
00000002400000001265,00None,267
00000003800000001913,00047,39
00000003800000001913,00138,89
00000003800000001913,00238,63
00000003800000001913,00388,32
00000003800000001913,00442,48
00000003800000001913,00783,32
00000003800000001913,00None,1187
00000003800000001913,01001,17
00000003800000001913,01144,21
00000003800000001913,01257,1
00000003800000001913,01491,39
00000003800000001913,01500,51
00000008380000001560,00397,1
00000014740000003009,000000,1
00000014740000003009,00036,1
00000014740000003009,00156,1
00000014740000003009,00239,1812
00000014740000003009,00255,2
00000014740000003009,00554,1
00000014740000003009,00659,2
00000014740000003009,00None,41620
00000014740000003009,01058,1
00000014740000003009,01227,1
00000021410000002249,00043,1
00000021410000002249,00None,5
00000030830000003767,00422,1
00000030830000003767,00491,2
00000030830000003767,00636,286
00000030830000003767,00None,9228
00000039070000004068,00None,88
00000040620000004736,00None,3476
00000047360000005524,00032,525
00000047360000005524,00095,2
00000047360000005524,00100,1
00000047360000005524,00159,1
00000047360000005524,00224,2
00000047360000005524,00None,31382
00000056080000005961,00120,1
00000056080000005961,00None,327
00000064020000008124,00None,5143
00000070930000007410,00None,5
00000075290000008116,00571,1
00000075290000008116,00None,2
00000077840000008649,00220,30
00000077840000008649,00269,27
00000077840000008649,00556,1
00000077840000008649,00632,33
00000077840000008649,00None,728
00000082060000009544,00None,2745
00000082290000008589,00204,1
00000086680000009491,00224,1
00000086680000009491,00None,7
00000090080000009181,00127,3
00000090080000009181,00None,13
00000092400000009427,00112,2
00000092400000009427,00154,1
00000092400000009427,00None,9
00000094390000010200,00472,81
00000094390000010200,00540,74
00000094390000010200,00596,24
00000094390000010200,00673,2
00000094390000010200,00None,843
00000094850000009671,00056,2
00000094850000009671,00None,7
00000095440000009834,00None,123
00000098360000011344,00None,995
00000098360000011344,01269,59
00000099700000010494,00None,64
00000104980000011634,00056,1
00000104980000011634,00195,449
00000104980000011634,00814,1
00000104980000011634,00None,9228
00000104980000011634,01014,1
00000113380000011418,00None,4
00000114100000011518,00None,117
00000115640000012067,00158,3
00000115640000012067,00173,4
00000115640000012067,00None,43
00000117790000012221,00031,26
00000117790000012221,00334,55
00000117790000012221,00355,1
00000117790000012221,00401,30
00000117790000012221,00428,33
00000117790000012221,00None,435
00000122860000012928,00219,45
00000122860000012928,00327,43
00000122860000012928,00None,660
00000123610000012462,00059,5
00000123610000012462,00080,8
00000123610000012462,00None,3
00000124690000012605,00None,1
00000125200000013177,00509,1
00000125200000013177,00None,83
00000135200000013625,00None,84
00000136830000014874,00141,24
00000136830000014874,00235,49
00000136830000014874,00696,35
00000136830000014874,00810,48
00000136830000014874,00915,20
00000136830000014874,00938,43
00000136830000014874,00None,1466
00000149330000015711,00101,37
00000149330000015711,00498,29
00000149330000015711,00None,805
00000153880000016170,00305,1
00000153880000016170,00521,1
00000153880000016170,00543,1
00000153880000016170,00None,19
00000155640000015931,00None,4
00000157470000015918,00None,1
00000170530000017212,00None,256
00000180260000018168,00None,9
00000182610000018583,00304,5
00000182610000018583,00None,335
00000184870000018629,00None,82
00000184980000018773,00None,3
