00000002400000001265,00061,17
00000002400000001265,00None,254
00000003800000001913,00033,86
00000003800000001913,00046,41
00000003800000001913,00059,6
00000003800000001913,00087,38
00000003800000001913,00319,21
00000003800000001913,00337,67
00000003800000001913,00441,48
00000003800000001913,00782,31
00000003800000001913,00None,1225
00000003800000001913,01236,3
00000003800000001913,01256,19
00000003800000001913,01499,50
00000008380000001560,00None,1
00000014740000003009,00343,1
00000014740000003009,00418,830
00000014740000003009,00514,2
00000014740000003009,00553,251
00000014740000003009,00586,1
00000014740000003009,00592,1888
00000014740000003009,00658,2
00000014740000003009,00778,1
00000014740000003009,00874,13
00000014740000003009,00913,1
00000014740000003009,00931,652
00000014740000003009,00None,37953
00000014740000003009,01039,1392
00000014740000003009,01054,1
00000014740000003009,01078,453
00000014740000003009,01147,1
00000014740000003009,01465,1
00000021410000002249,00None,6
00000030830000003767,00103,71
00000030830000003767,00208,1
00000030830000003767,00280,5
00000030830000003767,00424,1
00000030830000003767,00490,2324
00000030830000003767,00505,2
00000030830000003767,00511,1
00000030830000003767,00None,7114
00000039070000004068,00None,88
00000040620000004736,00093,1
00000040620000004736,00472,1
00000040620000004736,00None,3474
00000047360000005524,00058,1
00000047360000005524,00160,13
00000047360000005524,00223,1256
00000047360000005524,00268,1
00000047360000005524,00421,4
00000047360000005524,00430,1
00000047360000005524,00499,669
00000047360000005524,00523,1
00000047360000005524,00568,1
00000047360000005524,00None,29967
00000056080000005961,00None,328
00000064020000008124,00558,23
00000064020000008124,00978,1
00000064020000008124,00None,4981
00000064020000008124,01086,1
00000064020000008124,01152,1
00000064020000008124,01308,136
00000070930000007410,00134,1
00000070930000007410,00227,1
00000070930000007410,00None,3
00000075290000008116,00570,1
00000075290000008116,00None,2
00000077840000008649,00098,28
00000077840000008649,00219,30
00000077840000008649,00427,1
00000077840000008649,00555,1
00000077840000008649,00572,20
00000077840000008649,00731,52
00000077840000008649,00None,688
00000082060000009544,00534,164
00000082060000009544,00None,2581
00000082290000008589,00None,1
00000086680000009491,00None,8
00000090080000009181,00065,4
00000090080000009181,00097,3
00000090080000009181,00153,2
00000090080000009181,00None,7
00000092400000009427,00153,1
00000092400000009427,00None,11
00000094390000010200,00087,55
00000094390000010200,00242,50
00000094390000010200,00None,919
00000094850000009671,00055,2
00000094850000009671,00None,7
00000095440000009834,00None,123
00000098360000011344,00964,1
00000098360000011344,00None,1053
00000099700000010494,00None,64
00000104980000011634,00044,2
00000104980000011634,00194,2
00000104980000011634,00481,1
00000104980000011634,00610,1
00000104980000011634,00727,1
00000104980000011634,00994,136
00000104980000011634,00None,9401
00000104980000011634,01027,136
00000113380000011418,00None,4
00000114100000011518,00None,117
00000115640000012067,00180,4
00000115640000012067,00338,3
00000115640000012067,00None,42
00000117790000012221,00333,56
00000117790000012221,00376,45
00000117790000012221,00400,30
00000117790000012221,00None,454
00000122860000012928,00218,45
